Sun Nov 27 07:01:14 EST 2016,   https://t.co/KBLKTP89Xi, | Myths and Facts About Obstructive Sleep Apnea|, |['slideshow' 'slide show' 'slideshows' 'slide shows' 'pictures of' 'sleep apnea' 'OSA' 'obstructive sleep apnea' 'snoring' 'sleep' 'sleep disorder' 'breathing']|, ||
Sat Jul 09 07:41:26 EDT 2016,   https://t.co/SHSgRdDvL7, | Slideshow: Pictures and Facts About STDs|, |['slideshow' 'slide show' 'slideshows' 'slide shows' 'pictures of stds' 'std testing' 'std' 'sexually transmitted diseases' 'std symptoms' 'std tests' 'genitals' 'groin' 'sores' 'itching' 'hiv test' 'hiv/aids' 'genital herpes' 'herpes' 'herpes symptoms' 'herpes pictures' 'genital warts' 'hpv' 'hsv-1' 'gonorrhea symptoms' 'syphilis symptoms' 'Chlamydia symptoms' 'PID' 'pelvic inflammatory disease' 'scabies' 'the clap' 'hepatitis B' 'chancroid' 'condoms' 'abstinence' 'safe sex' 'trichomoniasis' 'LGV' 'std treatments']|, ||
Thu Oct 06 23:02:57 EDT 2016,   https://t.co/zVhntidzxu, | Quiz: Do You Fall For Old Flu Myths?|, |['flu' 'seasonal flu' 'influenza' 'flu shots' 'flu vaccine' 'flu season']|, ||
Mon Jul 25 14:46:33 EDT 2016,   https://t.co/qv2T8LDzEr, | Surprising Reasons You're Gaining Weight|, |['slideshow' 'slide show' 'unexplained weight gain' 'reasons for unexplained weight gain' 'cause of sudden weight gain' 'rapid unexplained weight gain' 'sleep and weight gain' 'stress and weight gain' 'menopause and weight gain' 'medications and weight gain' 'antidepressants and weight gain' 'slideshows' 'slide shows']|, ||
Thu Sep 15 20:30:09 EDT 2016,   https://t.co/Uml7xfGzMX, | Quiz: How to Live Gluten-Free|, |['gluten free' 'gluten free diet' 'gluten free foods' 'autism' 'celiac disease' 'grains' 'quizzes' 'oats' 'oatmeal' 'questions']|, ||
Wed Sep 14 17:00:05 EDT 2016,   https://t.co/HuUn82OYKt, | Your Best Ways to Beat Belly Fat|, |['Belly fat' 'weight loss' 'fitness' 'diet' 'fat' 'stomach' 'abdominal fat' 'visceral fat']|, ||
Wed Aug 31 16:50:19 EDT 2016,   https://t.co/zvUs6aUinJ, | Weight-Loss Surgery Sheds Pounds Long Term|, |['weight loss surgery' 'obesity surgery' 'bariatric surgery' 'gastric bypass surgery' 'weight loss' 'weight'] |, |WEDNESDAY Aug. 31 2016 (HealthDay News) -- Weight-loss surgery helps people drop a significant amount of weight and now a new study confirms that much of the weight appears to stay off for at least 10 years. "This study suggests that patients interested in bariatric surgery especially gastric bypass surgery should be able to lose a significant amount of weight and keep that weight off for a very long time" said study researcher Matt Maciejewski. He's a professor of medicine at Duke University School of Medicine in Durham N.C. While other research has found that weight-loss surgery is the most effective treatment for obese patients there is less data on long-lasting effects. The new study is notable because of the decade-long follow-up said Maciejewski who is also a research career scientist at Durham Veterans Affairs Medical Center. In the two-part study Maciejewski's team first looked at the results of about 1800 men and women who had gastric bypass surgery. The investigators compared weight changes in gastric bypass surgery patients to weight changes in more than 5300 obese veterans who had no weight-loss surgery or formal weight-loss treatment.  Gastric bypass surgery involves making the stomach smaller and attaching the lower part of the small intestine directly to the stomach so much of the small intestine is bypassed. After surgery people feel much fuller faster. The surgery also appears to alter gut hormones gut bacteria and metabolism according to the U.S. National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK). At the study's one-year mark those who had the bypass had lost 31 percent of their starting weight but the non-surgical patients had lost just 1 percent.  At 10 years the researchers had weight information on 564 of the nearly 1800 patients who had the gastric bypass. Only 19 of them had regained so much weight that they were nearly back to their starting weight; the rest kept off the weight. Compared to the non-surgical group the bypass group weighed 21 percent less than at the start of the study.|
Mon Apr 04 12:54:19 EDT 2016,   https://t.co/hqLFrBk4lv, | Berries: Big Health Benefits in Small Packages|, |['berries' 'antioxidants' 'flavonoids' 'resveratrol' 'heart disease' 'cancer' 'inflammation'] |, |April 4 2016 -- You already know berries are good for you. But researchers are finding more and more reasons to eat these nutritious powerhouses. Here’s one of the latest juicy details: Berries may lower the risk of erectile dysfunction. Other recent studies show they may play a potential role in the fight against Alzheimer’s disease and help with weight loss. “Berries do warrant the hype that they get” says Barbara Shukitt-Hale PhD a USDA staff scientist with the Human Nutrition Research Center on Aging at Tufts University. “And where we are now in terms of research is leaps and bounds ahead of where we were 10 years ago.” The fruits -- no matter what type -- are linked with lower risks of cancer heart disease and inflammation Shukitt-Hale says. But the link to erectile dysfunction is new. In a study of more than 25000 men those who ate the greatest amount of blueberries and citrus fruits were reported to have a nearly 20% lower risk of ED compared to those who ate the smallest amounts. Researchers can’t prove that eating berries caused the drop in risk and they say more study is needed. So what makes berries so beneficial? They have several different compounds that are good for you. Some of the most important: Berries boost a process called neurogenesis or making new neurons Shukitt-Hale explains. That may aid our memories and our ability to learn. They’re also involved in the brain’s "housecleaning" activities. They help clear out toxic proteins that build up in the brain such as tau and amyloid beta. Excessive amounts of those proteins are linked to Alzheimer's disease.|
Thu May 05 18:12:23 EDT 2016,   https://t.co/Dt72fj3wgi, | Widely Used Heart Drug Tied to Dementia Risk|, |['warfarin' 'atrial fibrillation' 'blood thinner' 'blood clots' 'dementia'] |, |THURSDAY May 5 2016 (HealthDay News) -- People with the heart rhythm disorder atrial fibrillation may have a heightened risk of developing dementia -- and the quality of their drug treatment may play a role a new study hints. Specifically researchers found patients on the clot-preventing drug warfarin showed a higher dementia risk if their blood levels of the medication were frequently too high or too low. And that was true not only for people with atrial fibrillation but also for those using warfarin for other reasons. Dr. Jared Bunch the lead researcher on the study said the findings uncover two potential concerns: People with atrial fibrillation may face an increased risk of dementia independent of warfarin use but warfarin might also contribute to dementia if the doses are not optimal. "If people's levels of warfarin were erratic their dementia risk was higher whether they had AF or not" said Bunch who was scheduled to present his findings Thursday at the Heart Rhythm Society's annual meeting in San Francisco. The results do not prove that either atrial fibrillation or warfarin are to blame according to Bunch a cardiologist at Intermountain Medical Center in Murray Utah. But he said there is reason to believe that both could contribute to dementia -- in part because of effects on blood flow to the brain. Atrial fibrillation is a common arrhythmia affecting about 3 million U.S. adults according to the Heart Rhythm Society. In it the upper chambers of the heart quiver instead of contracting efficiently. The condition is not immediately life-threatening but it can cause blood clots to form in the heart. If a clot breaks free and lodges in an artery supplying the brain that can trigger a stroke. Because of that people with atrial fibrillation often take medications that cut the risk of blood clots. Those include aspirin or anticoagulants such as warfarin (Coumadin). Warfarin is a tricky drug to take Bunch explained: People need regular blood tests to make sure their warfarin levels are in the "therapeutic range" -- high enough to prevent clots but low enough to avoid internal bleeding. The doses typically have to be changed over time.|
Wed Sep 21 11:30:10 EDT 2016,   https://t.co/TMQsOZNybk, | Fattening Foods of Summer|, |['slideshow' 'slide show' 'fattening foods' 'fatty foods' 'summer foods' 'hot dogs' 'fried chicken' 'funnel cakes' 'brats' 'potato salad' 'macaroni salad' 'nachos' 'ribs' 'high calorie foods' 'beer' 'pi\xc3\xb1a colada' 'daiquiri' 'calorie count' 'nutritional values.']|, ||
Wed Sep 14 11:59:53 EDT 2016,   https://t.co/GJiqXs5rk6, | This May Ease Teens' Stubborn Concussion Symptoms|, |['concussion' 'concussion symptoms' 'lingering concussion symptoms' 'stubborn concussion symptoms' 'teens' 'adolescents' 'talk therapy' 'depression' 'anxiety'] |, |TUESDAY Sept. 13 2016 (HealthDay News) -- For teenagers with lingering symptoms after a concussion treatment that focuses on the "whole person" may speed their recovery a new small study suggests. The researchers tested the effects of so-called "collaborative care" for teens with persistent problems following a concussion. That meant they saw a team of health professionals who provided among other things "talk therapy" for their depression and anxiety. After six months those kids showed a speedier recovery than teenagers who'd received more typical care. "Typical" can vary because there are no guidelines on how to treat lingering concussion symptoms explained study author Carolyn McCarty a researcher at Seattle Children's Hospital. But traditionally she said doctors have largely used the "watchful waiting" approach where they monitor kids' progress as the brain injury heals. She said the findings show the value of actively treating the fallout of a concussion including mental and emotional symptoms. Kenneth Podell a neuropsychologist and director of the Houston Methodist Concussion Center agreed. "Concussions are treatable and this study demonstrates that active treatment will help you get better quicker" said Podell who was not involved in the research. The issue of sports-related concussion -- especially in young athletes -- has garnered growing attention in recent years McCarty pointed out. According to the U.S. Centers for Disease Control and Prevention more than 248000 U.S. children and teens land in the emergency room each year because of a concussion sustained in sports or recreational activities. But that figure only captures kids taken to the ER. A recent study estimated that the actual number of injuries is closer to 2 million a year but researchers said even that figure is probably too low. The more immediate symptoms of a concussion can include confusion headache dizziness sluggishness and nausea or vomiting. With rest most kids see their symptoms go away in a couple of weeks McCarty said. But some develop what's called post-concussive syndrome -- where symptoms like headache dizziness and sleep problems last a month or more. Depression or anxiety symptoms may set in too.|
Sat Jul 30 08:01:05 EDT 2016,   https://t.co/FkdqJZtGJS, | 10 Worst Smog Cities in America|, |['slideshow' 'slide show' 'slideshows' 'slide shows' 'pictures of smog' 'worst smog' 'smoggy cities' 'pollution' 'dirty air' 'clean air' 'ozone' 'smog' 'soot' 'year-round particle pollution' 'short-term particle pollution' 'pollution spikes' 'smog spikes' 'El Centro' 'Washington D.C.' 'Dallas' 'Houston' 'Sacramento' 'Hanford' 'Fresno' 'Bakersfield' 'Visalia' 'San Joaquin Valley' 'Los Angeles' 'Salt Lake City' 'Fairbanks' 'Pittsburgh' 'Rapid City' 'Bismarck' 'Cape Coral' 'Palm Bay']|, ||
Sat Jul 02 12:24:02 EDT 2016,   https://t.co/zQtVxVLQds, | Top Problems in Your Mouth|, |['slideshow' 'slide show' 'slideshows' 'slide shows' 'mouth' 'oral care' 'tongue' 'pictures of mouth problems' 'teeth problems' 'oral health' 'oral diseases' 'mouth sores' 'mouth ulcers' 'sores in mouth' 'mouth problems' 'mouth blisters' 'sore mouth' 'mouth pain' 'mouth infection' 'sore in mouth' 'cold sores' 'cold sore treatment' 'cole sore remedies' 'black tongue' 'swollen tongue' 'tongue sores' 'canker sores' 'gingivitis' 'bleeding gums' 'swollen gums' 'sore gums' 'receding gums' 'periodontal disease' 'leukoplakia' 'oral cancer' 'mouth cancer' 'bad breath' 'halitosis' 'lichen planus' 'hyperkeratosis' 'temporomandibular joint' 'TMJ' 'aphthous ulcers']|, ||
Tue Aug 30 14:19:56 EDT 2016,   https://t.co/Vk8lCPKVOe, | Researchers Find Another Way Zika Can Harm Babies|, |['zika' 'zika virus' 'zika infection' 'fetus' 'baby' 'infants' 'birth defects' 'microcephaly' 'hearing loss' 'mosquitoes'] |, |TUESDAY Aug. 30 2016 (HealthDay News) -- In yet another example of the damage that maternal Zika infection can inflict on a fetus during the early months of pregnancy a new report suggests that close to 6 percent of these babies may also experience hearing loss. The most common and devastating birth defect seen so far has been microcephaly a condition where the head and brain are abnormally small. Vision problems and malformed joints have also been documented recently. But researchers in Brazil wanted to track the prevalence of hearing loss among newborns with Zika-related microcephaly. "Other congenital infections can cause hearing loss which is diagnosed at birth or during later follow-up; however few data exist regarding hearing loss associated with confirmed congenital Zika virus infection" the researchers said in their report. In the analysis Mariana Leal of the Hospital Agamenon Magalhaes and the Federal University of Pernambuco in Brazil and colleagues looked at 70 infants in Brazil who had been diagnosed with Zika-linked microcephaly. Subsequent hearing tests confirmed that almost 6 percent had hearing loss. "Congenital infection with Zika virus should be considered a risk factor for hearing loss" the researchers concluded. "Children with evidence of congenital Zika virus infection who have normal initial screening tests should receive regular follow-up because onset of hearing loss associated with other congenital viral infections can be delayed and the loss can be progressive" the study authors added. The findings were published Aug. 30 in the U.S. Centers for Disease Control and Prevention's Morbidity and Mortality Weekly Report. Hearing loss isn't the only worrisome news to surface recently about Zika's effect on infants: A case study suggested the virus can live and cause damage in newborns for at least two months after birth. That report published online Aug. 24 in the New England Journal of Medicine involved a baby boy born in January to a woman in Sao Paulo Brazil. Zika is typically transmitted via mosquito bites but sexual transmission can also occur. The mother developed symptoms of Zika illness -- rash fever headache swollen joints -- in week 26 of her pregnancy. The doctors suspect she got the infection through sexual contact with the baby's father who had traveled recently to a Zika-endemic region.|
Fri Sep 16 19:00:58 EDT 2016,   https://t.co/zZRdyh6mTS, | The Basics: Are You Hangry?|, |['hangry' 'skip breakfast' 'low blood sugar' 'irritated' 'protein' 'craving sweets' 'snacking']|, ||
Mon Aug 01 11:27:39 EDT 2016,   https://t.co/FLGCrojDGk, | error|, |['street drug' 'norco' 'fentanyl' 'U-47700' 'opioids' 'painkillers' 'synthetic opioids' 'drug abuse'] |, |FRIDAY July 29 2016 (HealthDay News) -- A street drug sold illegally as the prescription painkiller Norco is much stronger and more dangerous than the real medication researchers warn. "Street Norco is almost indistinguishable from brand-name Norco in appearance but can be lethal" said Dr. Patil Armenian of the University of California San Francisco. She is the lead author of a new case study involving the drug. The street drug combines fentanyl -- the synthetic opioid painkiller linked to the death of the musician Prince -- and a new synthetic opioid called U-47700. Neither of these ingredients is in brand-name Norco which contains acetaminophen and hydrocodone also an opioid or narcotic painkiller. "This new street drug's toxicity led to an unexpected cluster of fentanyl deaths in California this spring" Armenian said. Armenian and her colleagues launched their investigation after a female emergency room patient said she was exceedingly sleepy after her usual dose of medication and thought the color of her pill looked odd. The 41-year-old woman was treating her chronic back pain with regular Norco that she bought illegally according to the case study. After unknowingly taking a dose of the fake Norco the woman became unconscious within 30 minutes and was brought to the emergency department. Her blood had significant amounts of fentanyl and U-47700. The patient's pills had a bogus manufacturer's imprint and were beige instead of white. The report was published online July 27 in the journal Annals of Emergency Medicine. During March and April 12 fentanyl-related deaths and 40 additional cases of toxicity from fake Norco pills were reported in Sacramento and Yolo counties in northern California. Additional cases have occurred in the San Francisco area the study authors said. "In cases where there is a reasonable suspicion of opioid or opioid-like ingestion emergency providers should contact their local poison control center medical toxicologist or public health department" Armenian said in a journal news release. "This case highlights that fentanyl-laced Norco is spreading to other regions prompting emergency physicians to remain vigilant in their care" she added.|
Tue Aug 09 13:45:38 EDT 2016,   https://t.co/KYQl5ZlGqN, | What You Should Know About Bipolar Disorder|, |['bipolar 1' 'bipolar 2' 'bipolar disorder' 'mixed bipolar disorder' 'manic depression']|, ||
Sat Apr 30 16:20:01 EDT 2016,   https://t.co/Cg62aBmnJe, | Quiz: The Truth About Childhood ADHD|, |['ADD' 'ADHD' 'AD/HD' 'attention deficit hyperactivity disorder' 'attention deficit disorder' 'stimulant medication' 'diagnosis' 'behavior modification' 'executive function' 'disorder' 'hyperactive' 'impulsive' 'inattentive' 'school' 'brain' 'methylphenidate' 'amphetamine' 'Ritalin']|, ||
Tue Apr 26 16:22:02 EDT 2016,   https://t.co/GqTLcMTNfV, | Slideshow: A Visual Guide to Urinary Tract Infections|, |['slideshow' 'slide show' 'slideshows' 'slide shows' 'pictures of urinary tract infections' 'uti' 'urinary tract infection' 'bladder infections' 'kidney infections' 'honeymoon cystitis' 'urine test' 'E. Coli bacteria' 'urine odor' 'bubble baths' 'UTI in pregnancy' 'illustrations of urinary system' 'UTI symptoms in elderly' 'antibiotics' 'UTI in babies' 'Potty training' 'cranberries' 'cranberry juice']|, ||
Fri Aug 12 11:05:55 EDT 2016,   https://t.co/2LUcAt3dbz, | Quiz: What Do You Do When Bedbugs Bite?|, |['bedbugs' 'bed bugs' 'bites' 'bug bite' 'skin problems' 'infestations' 'mattress' 'eggs' 'insects' 'pests' 'rash' 'health quiz' 'quizzes' 'treatments' 'getting rid of bedbugs' 'extermination']|, ||
Tue Jul 26 14:35:25 EDT 2016,   https://t.co/NUFiHaLzqY, | Slideshow: Acne Visual Dictionary|, |['slideshow' 'slide show' 'slideshows' 'slide shows' 'pictures of' 'acne' 'pimples' 'blemishes' 'comedones' 'whiteheads' 'blackheads']|, ||
Fri Jul 01 09:36:21 EDT 2016,   https://t.co/r9RdeIU0Jy, | Clinics Selling Unapproved Stem Cell 'Therapies'|, |['stem cells' 'stem cell therapies' 'clinics' 'stem cell clinics' 'aging' 'injuries' 'spinal cord injuries'] |, |THURSDAY June 30 2016 (HealthDay News) -- Hundreds of clinics across the United States are marketing unapproved stem cell treatments for conditions ranging from aging skin to spinal cord injuries a new study finds. In an online search researchers found at least 570 clinics offering unapproved stem cell "therapies." They tend to be concentrated in a handful of states -- including Arizona California Colorado Florida New York and Texas -- but are scattered across many other states too. Most often the clinics market stem cell procedures for orthopedic conditions such as arthritis and injured ligaments and tendons. This does have science behind it but is still experimental medical experts said. In other cases with little or no supporting evidence clinics hawked stem cell "facelifts" and therapies for serious conditions such as chronic lung disease Parkinson's disease and multiple sclerosis. If these pricey stem cell treatments are unproven and unapproved by federal regulators how can these clinics exist? "I ask myself that question all the time" said Leigh Turner a bioethicist who worked on the study. Turner an associate professor at the University of Minnesota's Center for Bioethics said attention used to focus on "stem cell tourism" -- where people travel to countries such as China India and Mexico to get unproven treatments. "I think there's a misperception that everything here [in the U.S.] is regulated" Turner said. "But these clinics are operating here and on a relatively large scale." Stem cells are primitive cells with the potential to mature into various types of body tissue. Medical researchers have been studying the possibility of using stem cells to repair damaged tissue in a range of chronic ills -- with limited success so far. But the general public has heard about the "promise" of stem cells for years and it can be easy to be taken in by clinics' marketing tactics Turner said. Websites can for instance link to published medical studies that make their therapies seem legitimate Turner said. "These businesses can be quite savvy" he said. "I think it's asking too much to just tell consumers to be wary. We need to be asking why should these clinics be allowed to do this?"|
Sat Aug 27 12:16:41 EDT 2016,   https://t.co/HPpwR33rHk, | Slideshow: 10 Ways to Control Your Eating|, |['slideshow' 'diet' 'eating' 'overeating' 'snacking' 'weight']|, ||
Sat Jul 16 14:03:45 EDT 2016,   https://t.co/weCLNVfftD, | Health Lessons Men Can Learn From Women|, |['Women health' 'men health' 'sleep' 'diet' 'skin cancer' 'doctor visits']|, ||
Sun Jul 31 11:07:37 EDT 2016,   https://t.co/f860qjomyj, | 7 Most Effective Exercises|, |['slideshow' 'slide show' 'flat abs' 'tone abs' 'squats' 'lunges' 'push ups' 'push-ups' 'bend-over row' 'bend over row' 'walking' 'interval training' 'crunches' 'workout moves' 'exercise moves' 'beginner exercises' 'exercise techniques.']|, ||
Thu Jul 14 14:17:01 EDT 2016,   https://t.co/p2nyDVY5IL, | error|, |['work' 'job' 'career' 'employment' 'stress' 'work stress' 'job stress' 'managing stress' 'wellness'] |, |WEDNESDAY July 13 2016 (HealthDay News) -- Many Americans think their job takes a toll on everything from their health and stress levels to their eating and sleeping habits a new poll found. "The takeaway here is that job number one for U.S. employers is to reduce stress in the workplace" said poll director Robert Blendon. He is the Richard L. Menschel Professor of Health Policy and Political Analysis at the Harvard T.H. Chan School of Public Health in Boston. The poll which included phone interviews with more than 1600 workers in the United States found that 44 percent think their job affects their overall health. And only 28 percent of those people believe the influence is positive. Among the 16 percent who think their job is taking a toll on their health are those with disabilities those with dangerous jobs those working more than 50 hours a week those working in retail and those earning low wages.  Stress is a significant problem among American workers the poll found. Forty-three say their job is contributing to their stress. Nearly 30 percent also say their job influences their eating and sleeping habits while 22 percent say the work they do affects their weight. Many construction workers those who work outside and health care professionals worry that their jobs could expose them to chemicals and contaminants. Others worry about stress breathing polluted air having accidents or sustaining work-related injuries. Only about half of the workers say they have access to wellness or health improvement programs through their employer. Thirty-four percent rate these programs as excellent while 24 percent say they are only fair or poor. Healthy food options are also scarce for many working Americans the poll found. More than half of those with factory or manufacturing jobs as well as those working in medical construction outdoor or retail jobs rate their workplace as only fair or poor in making healthy foods available. Additionally nearly 20 percent report working 50 or more hours a week but most of these people feel working overtime is important for their career and about half say they enjoy their long hours.|
Tue Apr 19 15:46:02 EDT 2016,   https://t.co/X0kae0ql7N, | 7 Most Effective Exercises|, |['slideshow' 'slide show' 'flat abs' 'tone abs' 'squats' 'lunges' 'push ups' 'push-ups' 'bend-over row' 'bend over row' 'walking' 'interval training' 'crunches' 'workout moves' 'exercise moves' 'beginner exercises' 'exercise techniques.']|, ||
